수요일,Wednesday,,,水曜日,[sound:wednesday.mp3],107
비싸다,to be expensive,,,,[sound:tobeexpensive.mp3],108
문,door,,,門,[sound:door.mp3],109
많이,"a lot, many, plenty",,,,[sound:alot.mp3],110
맛있다,"to be delicious, tasty",,,,[sound:tobedelicious.mp3],111
음악,music,,,音樂,[sound:music.mp3],112
지금,now,,,只今,[sound:now.mp3],113
작다,to be small,,,,[sound:tobesmall.mp3],114
말,"words, language;<div>horse</div>",,,,[sound:horse.mp3],115
사전,dictionary,,,辭典,,116
죄송하다,"to be sorry, feel guilty",,,罪悚,,117
좀,a little;<div>kindly;<div>certainly</div></div>,,,,,118
가게,"shop, store",,,,[sound:shop.mp3],119
입다,to wear,,,,[sound:towear.mp3],120
김밥,Korean dried seaweed rice rolls,,,,,121
언제,when,,,,[sound:when.mp3],122
요리하다,to cook,,,料理,[sound:tocook.mp3],123
질문,question,,,質問,,124
눈,eye;<br>snow,,,,[sound:eye.mp3],125
아프다,"to be sick;<div>to hurt, ache</div>",,,,[sound:tobesick.mp3],126
청소,cleaning,,,淸掃,[sound:cleaning.mp3],127
내일,tomorrow,,,來日,[sound:tomorrow.mp3],128
쉽다,to be easy,,,,[sound:tobeeasy.mp3],129
술,alcoholic drink,,,,[sound:alcohol.mp3],130
저기,over there,,,,[sound:overthere.mp3],131
이야기하다,to talk,,,,[sound:totalk.mp3],132
숙제,homework,,,宿題,[sound:homework.mp3],133
어떻게,how,,,,[sound:how.mp3],134
시작하다,"to start, begin",,,始作,[sound:tostart.mp3],135
년,year,,,年,,136
그리고,and,,,,,137
아니다,to not be,,,,,138
목요일,Thursday,,,木曜日,[sound:thursday.mp3],139
피자,pizza,,,,[sound:pizza.mp3],140
찾다,to look for;<div>to find;</div><div>to withdraw (money)</div>,,,,[sound:tofind.mp3],141
끝,end,,,,,142
자동차,car,,,自動車,,143
청소하다,"to clean up, to vacuum",,,淸掃,[sound:toclean.mp3],144
오빠,older brother (of a female),,,,[sound:oppa.mp3],145
다음,"the next, the following",,,,[sound:next.mp3],146
바쁘다,to be busy,,,,[sound:tobebusy.mp3],147
회사,"company, corporation",,,會社,[sound:company.mp3],148
번,"time (first, second...)",,,番,[sound:time (1).mp3],149
만들다,to make,,,,[sound:tomake.mp3],150
바지,pants,,,,[sound:pants.mp3],151
저녁,evening;<div>dinner</div>,,,,,152
타다,"to ride, get in;<br>to burn, be tanned",,,,[sound:toride.mp3],153
버스,bus,,,,[sound:bus.mp3],154
개,dog;<div>thing (<i>count.</i>)</div>,,,,,155
